pre_participant_id,Pre_Survey_Pre_Survey_Nr,Pre_Survey_StartDate,Pre_Survey_EndDate,Pre_Survey_Status,Pre_Survey_Progress,Pre_Survey_Duration,Pre_Survey_Finished,Pre_Survey_RecordedDate,Pre_Survey_DistributionChannel,Pre_Survey_UserLanguage,Pre_Survey_Q_RecaptchaScore,Pre_Survey_Q1,Pre_Survey_Q2,Pre_Survey_Q2_TEXT,Pre_Survey_Q3,Pre_Survey_Q4_1,Pre_Survey_Q4_1_TEXT,Pre_Survey_Q4_2,Pre_Survey_Q4_3,Pre_Survey_Q4_3_TEXT,Pre_Survey_Q6,Pre_Survey_Q7,Pre_Survey_Q7_TEXT,Pre_Survey_Q8,Pre_Survey_Q8_score,Pre_Survey_Q9,Pre_Survey_Q9_TEXT,Pre_Survey_Q10,Pre_Survey_Q11,Pre_Survey_Q11_TEXT,Pre_Survey_Q12,Pre_Survey_Q12_TEXT,Pre_Survey_Q13_1,Pre_Survey_Q13_1_score,Pre_Survey_Q13_2,Pre_Survey_Q13_2_score,Pre_Survey_Q13_3,Pre_Survey_Q13_3_score,Pre_Survey_Q13_4,Pre_Survey_Q13_4_score,Pre_Survey_Q13_5,Pre_Survey_Q13_5_score,Pre_Survey_Q13_6,Pre_Survey_Q13_6_score,Pre_Survey_Q14,Pre_Survey_Q14_TEXT,Pre_Survey_Q15,Pre_Survey_Q15_TEXT,Pre_Survey_Q16,Pre_Survey_Q16_score,Pre_Survey_Q17,Pre_Survey_Q17_TEXT,Pre_Survey_Q18,Pre_Survey_Q18_score,Pre_Survey_Q19,Pre_Survey_Q19_TEXT,Pre_Survey_Q20,Pre_Survey_Q20_TEXT,Pre_Survey_Q21_1,Pre_Survey_Q21_1_score,Pre_Survey_Q21_2,Pre_Survey_Q21_2_score,Pre_Survey_Q21_3,Pre_Survey_Q21_3_score,Pre_Survey_Q21_4,Pre_Survey_Q21_4_score,Pre_Survey_Q21_5,Pre_Survey_Q21_5_score,Pre_Survey_Q22,Pre_Survey_Q23,Pre_Survey_Q23_TEXT,Pre_Survey_Q24,Pre_Survey_Q25,Pre_Survey_Q26,Pre_Survey_Q27,Pre_Survey_Q28,Pre_Survey_Q29,Pre_Survey_Q30,finished_clean,followup_opt_in
PRE00173,2,06.03.26 00:08,06.03.26 00:16,IP Address,100,484,True,06.03.26 00:16,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation),NA,No,Writing and editing text;Information search and Q&A;Brainstorming ideas;Decision support / advice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
PRE00100,1,02.03.26 20:13,02.03.26 20:16,IP Address,100,173,True,02.03.26 20:16,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation),NA,No,Information search and Q&A;Explaining complex concepts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
PRE00168,1,20.03.26 14:11,20.03.26 14:19,IP Address,100,508,True,20.03.26 14:19,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation),NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Brainstorming ideas;Translation and language support;Programming help (generation or explanation),NA,More than 2 years,Monthly,NA,NA,NA,ChatGPT (image generation),NA,"Yes, occasionally",University / studies,NA,Others (please describe shortly),Charts,Essential priority,7,Low priority,2,Moderate priority,5,Low priority,2,Low priority,2,Neutral,4,Unexpected or incorrect interpretations,NA,I write them entirely myself,NA,Somewhat agree,5,I rarely specify details,NA,Somewhat easy,3,2-3,NA,As a tool,NA,Strongly agree,7,Agree,6,Neither agree nor disagree,4,Neither agree nor disagree,4,Agree,6,90,Joint discussion of goals and criteria,NA,Thesis to create a chart about the data,charts,sometimes the chart has the wrong legend or is not proportional,Nothing,25,Female,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00143,1,15.03.26 22:32,15.03.26 22:44,IP Address,100,748,True,15.03.26 22:44,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation),NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Programming help (generation or explanation),NA,1Ð6 months,Less often,NA,NA,NA,Nano Banana,NA,No,University / studies,NA,Logos / icons / illustrations;Scenes / storyboards /scenerios,NA,High priority,6,Moderate priority,5,Essential priority,7,Moderate priority,5,Low priority,2,Neutral,4,Finding the right words;Unexpected or incorrect interpretations,NA,"I ask another AI (e.g., ChatGPT) to generate prompts",NA,Agree,6,"Composition (e.g., perspective, framing)",NA,Neither easy nor difficult,4,2-3,NA,As a tool,NA,Agree,6,Agree,6,Slightly disagree,3,Slightly disagree,3,Neither agree nor disagree,4,80,Joint prompt writing and iteration,NA,For university courses. For example for a presentation.,"In a creativity course at the university, we had to make a Collage. And therefore to get some inspiration we used AI and it gave a good example how the Collage could look.",Until now never,"It's problematic because AI creates something but can't give credits to the image he took his ""Inspiration"" from",21,Male,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00053,1,15.03.26 17:59,15.03.26 18:24,IP Address,100,1471,True,15.03.26 18:24,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation),NA,Yes,NA,NA,NA,Information search and Q&A;Summarizing content;Explaining complex concepts;Decision support / advice,NA,Less than 1 month,Less often,NA,NA,NA,ChatGPT (image generation),NA,No,Personal use / hobby,NA,"Landscapes / environments;Products / mockups;Style experiments (e.g., Òin the style ofÉÓ)",NA,Moderate priority,5,Essential priority,7,High priority,6,Somewhat priority,3,Low priority,2,Moderate priority,5,Knowing how to start;Finding the right words,NA,I write them entirely myself,NA,Disagree,2,Lighting / color;Materials / textures,NA,Very easy,2,2-3,NA,As a creative partner,NA,Strongly agree,7,Strongly agree,7,Agree,6,Strongly disagree,1,Neither agree nor disagree,4,100,I don't work with others,NA,Ich wollte einen persšnlichen Gegenstand darstellen lassen.,Hat meinen persšnlichen Gegenstand so dargestellt wie ich das wollte.,Durch meine falschen Eingaben,ich will keine persšnliche Angaben in der KI eingeben.,66,Female,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00096,1,27.02.26 14:49,27.02.26 14:58,IP Address,100,513,True,27.02.26 14:58,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation),NA,Yes,NA,NA,NA,Writing and editing text;Information search and Q&A;Brainstorming ideas,NA,1Ð6 months,Several times per week,NA,NA,NA,ChatGPT (image generation),NA,No,Personal use / hobby;Ideation / brainstorming,NA,People / characters,NA,Low priority,2,Low priority,2,Low priority,2,Low priority,2,Low priority,2,Low priority,2,Knowing how to start;Unexpected or incorrect interpretations,NA,I write them entirely myself,NA,Somewhat agree,5,"Artistic or style references;Composition (e.g., perspective, framing);Materials / textures",NA,Somewhat easy,3,4-6,NA,As a creative partner,NA,Slightly agree,5,Slightly agree,5,Slightly agree,5,Slightly disagree,3,Disagree,2,0,I don't work with others,NA,Starting a digital image of what IÕm thinking,NA,NA,Nothing,60,Female,No thanks.,TRUE,FALSE
PRE00012,1,28.02.26 19:43,28.02.26 19:53,IP Address,100,560,True,28.02.26 19:53,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation),NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Programming help (generation or explanation),NA,1Ð2 years,Less often,NA,NA,NA,ChatGPT (image generation),NA,No,University / studies,NA,Landscapes / environments,NA,Somewhat priority,3,Moderate priority,5,High priority,6,Moderate priority,5,Moderate priority,5,High priority,6,Controlling details;Unexpected or incorrect interpretations;Time spent on multiple iterations,NA,I write them entirely myself,NA,Agree,6,Lighting / color,NA,Neither easy nor difficult,4,2-3,NA,As a tool,NA,Agree,6,Agree,6,Agree,6,Neither agree nor disagree,4,Slightly disagree,3,100,I don't work with others,NA,I need a nice picture on the first slide for the teammeeting,see above,NA,Nothing,26,Female,No thanks.,TRUE,FALSE
PRE00142,2,05.03.26 23:45,05.03.26 23:56,IP Address,100,622,True,05.03.26 23:56,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation),NA,Yes,NA,NA,NA,Paraphrasing or rephrasing text;Information search and Q&A;Decision support / advice,NA,1Ð2 years,Weekly,NA,NA,NA,ChatGPT (image generation);Midjourney,NA,No,Personal use / hobby,NA,People / characters;Landscapes / environments;Photorealistic images,NA,High priority,6,Moderate priority,5,Moderate priority,5,Neutral,4,Neutral,4,Moderate priority,5,Knowing how to start;Controlling details;Time spent on multiple iterations,NA,"I write them entirely myself;I ask another AI (e.g., ChatGPT) to generate prompts",NA,Agree,6,"Composition (e.g., perspective, framing);Lighting / color;Materials / textures",NA,Somewhat difficult,5,4-6,NA,As a tool,NA,Slightly agree,5,Neither agree nor disagree,4,Slightly disagree,3,Slightly agree,5,Neither agree nor disagree,4,100,I don't work with others,NA,"For uploading picture in social media for my page, I need to generate image.","Last week I want my picture to be in a sea beach, and AI succesfully generated it.","Last month I tried my picture to cope with the current trend of that time, but AI could not do what I intended.",Sometimes it doesn't understand and try to be oversmart.,27,Male,No thanks.,TRUE,FALSE
PRE00140,2,05.03.26 23:45,05.03.26 23:51,IP Address,100,323,True,05.03.26 23:51,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation),NA,Yes,NA,NA,NA,Writing and editing text;Summarizing content,NA,More than 2 years,Less often,NA,NA,NA,DALLáE;Stable Diffusion (local or cloud);Adobe Firefly,NA,No,Personal use / hobby,NA,People / characters,NA,High priority,6,High priority,6,Moderate priority,5,Moderate priority,5,Moderate priority,5,Moderate priority,5,Controlling details;Maintaining consistency across images,NA,I write them entirely myself;I use prompts from online communities,NA,Agree,6,"Composition (e.g., perspective, framing);Camera or photography terms",NA,Neither easy nor difficult,4,2-3,NA,As a tool,NA,Strongly agree,7,Agree,6,Agree,6,Neither agree nor disagree,4,Slightly agree,5,90,I don't work with others,NA,to produce 'album covers' for songs that I've written,I have a youtube music channel and have used Firefly many times to generate images that I use with my music.,Sometimes the output is unusable - but its still fun generating.,Not really. It's stimulating and fun tool.,54,Male,No thanks.,TRUE,FALSE
PRE00025,2,05.03.26 23:49,05.03.26 23:55,IP Address,100,363,True,05.03.26 23:55,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation),NA,Yes,NA,NA,NA,Information search and Q&A;Summarizing content,NA,1Ð6 months,Less often,NA,NA,NA,ChatGPT (image generation),NA,No,Personal use / hobby;Ideation / brainstorming,NA,Logos / icons / illustrations,NA,Essential priority,7,Moderate priority,5,Essential priority,7,Neutral,4,Moderate priority,5,High priority,6,Controlling details;Unexpected or incorrect interpretations,NA,I write them entirely myself,NA,Agree,6,"Composition (e.g., perspective, framing);Lighting / color;Textelements to be displayed on the image;Negative prompts (explicitly stating what should not be included)",NA,Somewhat difficult,5,4-6,NA,As a tool,NA,Agree,6,Slightly disagree,3,Slightly agree,5,Disagree,2,Strongly disagree,1,100,I don't work with others,NA,Logo design for a brand or company.,I was trying to come up with a simpplistic logo for a youtube channel and the prompt was relatively simple which AI generated easily.,When there are small details that you want specific to how you are imagining it.,Concern on how many similar images ahve been generated.,26,Male,No thanks.,TRUE,FALSE
