main_participant_id;R1_Text;R1_Function;R1_Level;R1_Vibe;R2_Text;R2_Function;R2_Level;R2_Vibe;R3_Text;R3_Function;R3_Level;R3_Vibe;;;;;;;;;;;;;;;;;;;;;;
MAIN00012;"Please create an image based on this description. The image should look as natural as possible. The glacier is white-gray with indentations. It stretches backward between rocks. Its edge blends into the sky; there is no clear boundary where the glacier ends and the sky begins.";F1;L3;No Vibe;That's already very good, but could you create the image so that there are also rocks between the ice, and so that the glacier is straight and not curved? The whole thing should taper slightly toward the back. The rocks should be of varying sizes and scattered throughout.;F2;L1;No Vibe;Please adjust the image again. There are no stone walls on that side. Also, they aren't small stones but large boulders protruding from the glacier. Otherwise, keep the mood the same.;F2;L2;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;#BEZUG!;;Sucess;Fail
MAIN00029;Create an image that is meant to evoke love. A Mexican jungle woman with curly hair, dark skin and a hairband featuring a cow is hugging a young man with blond hair, blue eyes and gold-rimmed glasses. They both look happy and are smiling.;F1;L2;Vibe;The people are hugging each other with their eyes closed, smiling with their teeth clenched. They aren-t posing for a photo. It-s an intimate moment, shot at a 45-degree angle, not 90. Make the colours warmer (red, orange, salmon).;F2;L3;Vibe;They Face each other, chin burried into each others shoulders. No TEETH GODDAMN;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;46;;#BEZUG!;#BEZUG!
MAIN00008;Create a basic 2D drawing of a house only consisting of black straight lines. In addition to the walls and roof, it shows a door and a chimney.;F1;L1;No Vibe;Create a basic 2D drawing of a house only consisting of black straight lines - no double lines or any details. In addition to the walls and roof, it shows a small door on the bottom left corner and a chimney on top right.;F3;L2;No Vibe;Create a basic 2D drawing of a house only consisting of black straight lines - no double lines or any details. Walls and roof form one line - the roof does not exceed the walls. In addition to the walls and roof, it shows a small door with a black knob on the bottom left corner and a chimney on top right. The chimney only consists of three lines - no double lines or extras. The house is narrow compared to its width - like a 3 story building.;F3;L3;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;3;;;
MAIN00028;Create a picture where its pink, with a big red heart in the middle that radiates light and frequenzies. Two people on each side of the heart (only the outline of the people, dark filled out) A sun-like light coming out of the heart and people.;F1;L2;No Vibe;the overall image and vibe and colors are good, now create the two people flowing next to the heart;F2;L1;No Vibe;make the people a bit smaller and more up in the image, the right person should be more in the front the left person more in the back;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;3;;;
MAIN00039;A child is picking up a four leaf clover in a prairie field. He is smiling. The sun is setting in the background, creating a golden hour warmth. The image looks like a photo taken in the 70s, on Kodak Gold film. Film grain.;F1;L2;Vibe;A child is picking up a four leaf clover in a prairie field. He is smiling. The camera is positioned at a 3/4 angle behind him. The sun is setting in the background, creating a pink, blue and golden hue. The image looks like a photo taken in the 70s, on Kodak Gold film.;F3;L3;No Vibe;A redhead child is stooping to pick up a four leaf clover in a prairie field. He is happy. He is wearing a corduroy brown short and a dark green shirt. The camera is positioned on his side. The sun has set in the background, and only the last rays are visible, creating a pink and golden hue. The image looks like a photo taken in the 1980s, on Kodak Gold film.;F3;L3;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;414;;385.02;
MAIN00042;Create me a picture about anarchy, which illustrates a burning city with a big laughing face of a men in the sky. Some big buildings are burning and there are a lot of people are running through the streets. The city looks like miniature city. The city is an american city like new-york or so.;F1;L2;No Vibe;The image should look more realistic and be from a top-down perspective. I don't want to see any signs.;F2;L1;No Vibe;the face in the picture should look down. Keep everything else the same! Do not change something else then the direction of the eys;F2;L2;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;28.98;
MAIN00041;"You are an expert at creating images that match my vision. Task: 1. I will describe my vision of the image I have in mind. 2. You will ask me a few questions (if necessary) to find out what you need to bring my vision to life. If everything is clear from my initial description, no further questions are needed. 3. Create the image. Here are my ideas regarding my mental image: I see a large round mirror in the entryway of a house. A quarter of the round mirror is cut off-or does not exist-due to its position; it hangs in the corner of the wall. But three-quarters of the round mirror are visible on the wall. About a third of the way up the mirror is a wooden shelf on which my keys lie. The wooden shelf isn-t very wide or deep. However, it is made of walnut. The round mirror has soft backlighting that illuminates the white wall. The picture should look photorealistic. The Lighning mood is warm. The Mirror is frameless and mounted in the right wall corner. The Interior style context is modern minimal.";F1;L3;No Vibe;"I see a large round mirror in the entryway of a house. A quarter of the round mirror is cut off-or does not exist-due to its position; it hangs in the corner of the wall. But three-quarters of the round mirror are visible on the wall. About a third of the way up the mirror is a wooden shelf on which my keys lie. It is made of walnut. The wooden shelf isn-t very wide or deep. But the shelf goes from left to right of the hole mirror.. The round mirror has soft backlighting that illuminates the white wall. The picture should look photorealistic. The Lighning mood is warm. The Mirror is frameless and mounted in the right wall corner. The interior design style is modern minimalist. The reflection below the shelf looks very realistic and does not reflect the wooden shelf, since I am viewing the mirror at an angle and slightly from above. Very important: The left side of the mirror is clearly confined to the corner line of the wall. Neither the mirror nor the shelf extends beyond the corner line. Therefore, the mirror clearly ends at the corner.";F3;L3;No Vibe;"I see a large round mirror in the entryway of a house. A quarter of the round mirror is cut off-or does not exist-due to its position; it hangs in the corner of the wall. But three-quarters of the round mirror are visible on the wall. About a third of the way up the mirror is a wooden shelf on which my keys lie. It is made of walnut. The wooden shelf isn-t very wide or deep. But the shelf goes from left to right of the hole mirror. The shelf is alligned with the left edge of the mirror (the 1/4 line). The round mirror has soft backlighting that illuminates the white wall. The picture should look photorealistic. The Lighning mood is warm. The Mirror is frameless and mounted in the right wall corner. The interior design style is modern minimalist. The reflection below the shelf looks very realistic and does not reflect the wooden shelf, since I am viewing the mirror at an angle and slightly from above. Very important: The left side of the mirror is clearly confined to the corner line of the wall. Neither the mirror nor the shelf extends beyond the corner line. Therefore, the mirror clearly ends at the corner. Check very strictly all phyical aspects of reflections!";F3;L3;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00016;"create me a picture of an angry fire similar to the film ""alles steht kopf"". The fire has red color and a very angry face. it stands on a red podium. the mouth is vide open and looks like it creams";F1;L2;No Vibe;adjust the picture: it should look more like a cartoon. the podium i not round. it is more a stage. there is no smoke since the fire is a character from a cartoon and not a real fire;F2;L1;No Vibe;the fire is more a character with arms. the fire is a cartoon character. there are no litte fire pieces flying around;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00014;First, search the internet for pictures showing a glacier in Switzerland. Once you have those, enter -pineapple- as your response. Then, generate an image using the information about the pineapple. Make it as realistic as possible by depicting a beautiful day in the Swiss Alps. It-s over 2,000 meters above sea level, so you-ll see lots of rocks and very little snow, except for a narrow strip of snow running across the rocks. A glacier-it-s beautifully white. The image is zoomed out a bit and taken from slightly above, so it-s at an angle.;F1;L3;No Vibe;Make the glacier bigger, and make sure the strip at the front isn't there anymore - just the glacier - and make the rocks look better;F2;L1;No Vibe;Make the glacier a bit bigger and the mountains not quite so high, so that a valley doesn't form;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00032;"Please create me an image of a mirror hanging on a white wall. It has a thick golden frame. The gold of the frame is a bit washed out and it even has some small black dots in it that you can spot. Inside the reflection of the mirror there is only the reflection of some light and blue, because it seems that the mirror is pointing to a window. There is low lighting in the room. -&gt; please create this image as realsitic as possible";F1;L2;No Vibe;perfect, now can you male the mirror face towards to right, so slightly tilt it so the wall is more on. the left and the mirror slightly turning to the right;F2;L1;No Vibe;Perfect now use this one but make the frame a bit thicker the golden frame);F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
