survey,variable_name,question_text
Main_Survey,Main_Survey_StartDate,Start Date
Main_Survey,Main_Survey_EndDate,End Date
Main_Survey,Main_Survey_Status,Response Type
Main_Survey,Main_Survey_Progress,Progress
Main_Survey,Main_Survey_Duration,Duration
Main_Survey,Main_Survey_Finished,Finished
Main_Survey,Main_Survey_RecordedDate,Recorded Date
Main_Survey,Main_Survey_DistributionChannel,Distribution Channel
Main_Survey,Main_Survey_UserLanguage,User Language
Main_Survey,Main_Survey_Q1,"Consent Statement: By clicking ÒI agreeÓ, you confirm that: You are at least 18 years old. You have read and understood the information above. You voluntarily agree to participate in this study. Do you agree to participate in this study?"
Main_Survey,Main_Survey_Q2,"You previously provided your email address to indicate your interest in participating in the self-experiment - thank you! To strengthen the analysis, we would like to link your responses from the pre-survey with the data from this self-experiment. If you agree, please enter the same email address here so that your responses can be linked across surveys. Your email address will be used exclusively for data linkage, stored separately from the survey responses, deleted after the data has been linked. Therefor the results will not be associated with you in any analyses or publications."
Main_Survey,Main_Survey_Q4,"Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mindÕs eye. Now imagine the exact contours of face, head, shoulders and body."
Main_Survey,Main_Survey_Q5,"Now imagine that persons characteristic poses of head, attitudes of body etc."
Main_Survey,Main_Survey_Q6,"Now imagine their precise carriage, length of step, etc., in walking."
Main_Survey,Main_Survey_Q7,Imagine your relative or close friend wearing a familiar outfit in different colors.
Main_Survey,Main_Survey_Q8,Visualize a rising sun. Consider carefully the picture that comes before your mindÕs eye. Now imagine the sun rising above the horizon into a hazy sky (dunstiger Himmel).
Main_Survey,Main_Survey_Q9,The sky clears and surrounds the sun with blueness.
Main_Survey,Main_Survey_Q10,"Imagine clouds gathering, and then a storm with flashes of lightning."
Main_Survey,Main_Survey_Q11,A rainbow appears.
Main_Survey,Main_Survey_Q12,Think of the front of a shop which you often go to. Consider the picture that comes before your mindÕs eye. Imagine the overall appearance of the shop from the opposite side of the road.
Main_Survey,Main_Survey_Q13,"A window display including colours, shapes and details of individual items."
Main_Survey,Main_Survey_Q14,"You are near the entrance: the colour, shape and details of the door."
Main_Survey,Main_Survey_Q15,You enter the shop and go to the counter. The counter assistant serves you. Money changes hands.
Main_Survey,Main_Survey_Q16,Visualize a country scene
Main_Survey,Main_Survey_Q17,The colour and shape of the trees.
Main_Survey,Main_Survey_Q18,The colour and shape of the lake.
Main_Survey,Main_Survey_Q19,"A strong wind blows on the trees and on the lake, causing waves."
Main_Survey,Main_Survey_Q21,"In the following task, you will be asked to form a mental image for a word. Unlike the previous questions, some words may refer to abstract concepts (e.g., ideas, values, emotions). There is no right or wrong way to imagine them. People often visualize these words in different ways, such as a symbol, a scene, an object, a person, a place, an atmosphere, or even just colors and shapes. Please take a moment to form a mental image for the following word: ""[Field-target_word]"" Take your time (about 1Ð2 minutes). If it helps, notice what comes to mind first, then add detail. You might consider: what it looks like (colors, shapes, brightness) what it contains (objects, people, symbols) where it is (setting, background, scale, distance) what it feels like (mood, tension, calm, movement) Your image can be figurative or abstract, whatever feels natural. - How vivid is the mental image you are imagining right now?"
Main_Survey,Main_Survey_Q22,"Please briefly describe your mental image of ""[Field-target_word]"" in 1Ð3 sentences. Describe it as accurately as possible (colors, components, scenes, other elements or the organization of the entire scene)"
Main_Survey,Main_Survey_Q24,Please copy the prompt you used in the text box below.
Main_Survey,Main_Survey_Q25_Id,Please download your generated image and upload it here (you can also drag and drop the file into this field). - Id
Main_Survey,Main_Survey_Q25_Name,Please download your generated image and upload it here (you can also drag and drop the file into this field). - Name
